"﻿sno","","","","","","","","","","","","","","","",""
"1","","lower than 1.5","should","always","be","lower","1.5"," m / s","","","","","","","",""
"2","","","should","always","be","equal","1","","","","","","","","",""
"3","","","must","","be","equal","0.015"," Nm","","","","","","","",""
"4","","","should","","","reach","2700"," s","position","","","","","","",""
"5","","","should","correctly","","estimates","2000"," s","position","","","","","","",""
"6","","","should","","","reach","0","","position","","","","","","",""
"7","","","shall","constantly","","keep","","","","","","","","","",""
"8","","","should","not","","exceed","0.2","","0.2","","","","","","",""
"9","","","","When","","selects","zero","","","","","","","","",""
"10","","","","","","","","","","","","","","","",""
"11","","or more","","When","","becomes","3"," degrees","","","","","","","",""
"12","","or more","","When","","becomes","3"," degrees","","","","","","","",""
"13","","","shall","","","tracked","1"," degree","","","","","","","",""
"14","","","","","","","","","","","","","","","",""
"15","","","shall","","be","deg","10"," %","","","","Knob","When","commands","","deg"
"16","","","","","","allowed","10"," deg %","%","","","","","","",""
"17","","","","","","allowed","15"," deg","","","","","","","",""
"18","","","","","","","","","","","","","","","",""
"19","","","shall","","","tracked","1"," degree","","","","","","","",""
"20","","","shall","not","","exceed","10"," %","overshoot","","","","","","",""
"21","","","","","","","","","","","","","","","",""
"22","","","","","","","","","","","","","","","",""
"23","","less than 0.01","should","","be","less","0.01","","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","","","","","","","","","","","","","","","",""
"26","","","shall","","","equal","","","magnitude","","","","","","",""
"27","","","shall","","be","invertible","2"," radians","","","","","","","",""
"28","","","shall","","","provide","","","mapping","","","","","","",""
"29","","","shall","","be","orthonormal","","","","","","","","","",""
"30","","","shall","","be","orthonormal","","","","","","","","","",""
"31","","","shall","","be","invertible","2"," radians","","","","","","","",""
"32","","","shall","","","latch","","","pullup","","","system","when not not","","and","latch"
"33","","","shall","","","change","","","states","TRANSITION","STANDBY","pilot","when","","","change"
"34","","","shall","","","change","","","states","TRANSITION","NOMINAL","data","when","","and","change"
"35","","","shall","","","change","","","states","NOMINAL","MANEUVER","data","when not","","","change"
"36","","","shall","","","change","","","states","NOMINAL","STANDBY","pilot","when","","","change"
"37","","","shall","","","change","","","states","MANEUVER","STANDBY","","","","",""
"38","","","shall","","","change","","","states","PULLUP","TRANSITION","data","when","","and","change"
"39","","","shall","","","change","","","states","STANDBY","TRANSITION","pilot","when not","","","change"
"40","","","shall","","","change","","","states","STANDBY","","failure","when","Apfail","","change"
"41","","","shall","","","change","","","states","NOMINAL","FAULT","Limits","when","","","change"
"42","","","shall","","","change","","","states","NOMINAL","TRANSITION","autopilot","when not","support","","change"
"43","","","shall","","","change","","","states","FAULT","TRANSITION","","","","",""
"44","","","shall","","","change","","","states","TRANSITION","NOMINAL","autopilotis","when","autopilot","","change"
"45","","","shall","","","change","","","states","TRANSITION","NOMINAL","autopilotis","when","autopilot","","change"
"46","","","should","then","","return","2"," tank tank","state","","","height","","","","return"
"47","","","should","","","return","2"," tank tank","state","","","height","","","","return"
"49","","","","","","","","","","","","","","","",""
"50","","","","When","is","True","","","","","","","","","",""
"51","","","shall","","","bounded","","","","","","","","","",""
"52","","","","","","T","2"," , T /","","","","output","When","","","T"
"53","","0 to 10","should","","","equal","0.1"," seconds tolerance seconds","sine","","","","","","",""
"54","","0 to 10","should","","","equal","0.1"," seconds tolerance seconds","sine","","","","","","",""
"55","","","shall","not","","overflow","","","","","","","","","",""
"56","","","shall","not","","overflow","","","","","","","","","",""
"57","","","should","then","","return","1"," tank tank","state","","","height","","","or","return"
"58","","less than","should","","","return","1"," tank tank","state","","","height","below","","","return"
"59","","","should","","","return","1"," tank tank","state","","","height","","","","return"
"60","","less than","should","","","return","1"," tank tank","state","","","height","below","","","return"
"61","","","should","then","","return","2"," tank tank","state","","","height","","","or","return"
"62","","less than","should","","","return","2"," tank tank","state","","","height","below","","","return"
"63","","","should","then","","return","2"," tank tank","state","","","height","","","or","return"
"64","","less than","should","","","return","2"," tank tank","state","","","height","below","","","return"
"65","","","should","","","return","2"," tank tank","state","","","height","","","","return"
"66","","less than","should","","","return","2"," tank tank","state","","","height","below","","","return"
"67","","","","","","","","","","","","","","","",""
"68","","","","","is","dependent","","","","","","","","","",""
"69","","","","","","","","","","","","","","","",""
